,NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
78,2024004009,2024-03-11 17:47,2024,3,11,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(88),    호남선88    ,호남선,88,35.24365,126.8152,안전신문고,시설환경
79,2024004004,2024-03-11 17:44,2024,3,11,함평지사,도로안전팀,유지보수,이정입력,표지판,표지판 보수요청,무안광주선(12.1),    무안광주선12.1    ,무안광주선,12.1,35.03789,126.5105,안전신문고,시설환경
80,2024004002,2024-03-11 17:43,2024,3,11,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(82.9),    호남선82.9    ,호남선,82.9,35.20369,126.8387,안전신문고,시설환경
81,2024003999,2024-03-11 17:42,2024,3,11,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(82),    호남선82    ,호남선,82,35.19795,126.8458,안전신문고,시설환경
82,2024003993,2024-03-11 17:32,2024,3,11,남원지사,도로안전팀,유지보수,이정입력,기타시설물,전광판 문구 조치요청,광주대구선(70),    광주대구선70    ,광주대구선,70,35.48935,127.5192,국민신문고,시설환경
83,2024003992,2024-03-11 17:22,2024,3,11,광주전남본부,도로팀,유지보수,이정입력,배수시설,배수시설 철거 요청,남해선(78.3),    남해선(영암순천)78.3    ,남해선(영암순천),78.3,34.83467,127.2832,전화,업무처리
84,2024003915,2024-03-11 10:07,2024,3,11,광주지사,도로안전팀,유지보수,공통,안전시설,지하차도 진입 차단시설 보수요청,호남선(80),    호남선80    ,호남선,80,35.19292,126.8656,안전신문고,시설환경
85,2024003869,2024-03-08 10:54,2024,3,8,광주지사,도로안전팀,유지보수,이정입력,노면파임,도로파손 보수요청,호남선(77),    호남선77    ,호남선,77,35.18446,126.8952,안전신문고,시설환경
86,2024003751,2024-03-06 17:40,2024,3,6,광주지사,도로안전팀,유지보수,고서육교(천안(67.04)),배수시설,교량 배수기능 관리요청,호남선(67.04),    호남선67    ,호남선,67,35.2226,126.9716,안전신문고,시설환경
87,2024003749,2024-03-06 17:26,2024,3,6,담양지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,고창담양선(37),    고창담양선37    ,고창담양선,37,35.25221,126.9772,안전신문고,시설환경
88,2024003748,2024-03-06 17:24,2024,3,6,담양지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,고창담양선(40),    고창담양선40    ,고창담양선,40,35.25217,127.0097,안전신문고,시설환경
89,2024003747,2024-03-06 17:22,2024,3,6,담양지사,도로안전팀,유지보수,공통,노면파임,도로파손 보수요청,고창담양선(40),    고창담양선40    ,고창담양선,40,35.25217,127.0097,안전신문고,시설환경
90,2024003745,2024-03-06 17:20,2024,3,6,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,호남선(21.3),    호남선21.3    ,호남선,21.3,35.06307,127.2714,안전신문고,시설환경
91,2024003744,2024-03-06 17:18,2024,3,6,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,남해선(2.2),    남해선(순천부산)2.2    ,남해선(순천부산),2.2,34.99137,127.4998,안전신문고,시설환경
92,2024003742,2024-03-06 17:16,2024,3,6,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,남해선(3.8),    남해선(순천부산)3.8    ,남해선(순천부산),3.8,34.98715,127.5163,안전신문고,시설환경
93,2024003741,2024-03-06 17:14,2024,3,6,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,호남선(21.8),    호남선21.8    ,호남선,21.8,35.0675,127.2704,안전신문고,시설환경
94,2024003740,2024-03-06 17:11,2024,3,6,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,호남선(22.8),    호남선22.8    ,호남선,22.8,35.07544,127.2652,안전신문고,시설환경
95,2024003630,2024-03-05 13:37,2024,3,5,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,남해선(20.8),    남해선(순천부산)20.8    ,남해선(순천부산),20.8,34.98143,127.6754,안전신문고,시설환경
96,2024003627,2024-03-05 13:34,2024,3,5,광주지사,도로안전팀,유지보수,산월IC(82.05),노면파임,포트홀 보수요청,호남선(83),    호남선83    ,호남선,83,35.20432,126.8379,안전신문고,시설환경
97,2024003623,2024-03-05 13:32,2024,3,5,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,남해선(23.6),    남해선(순천부산)23.6    ,남해선(순천부산),23.6,34.98672,127.6975,안전신문고,시설환경
98,2024003616,2024-03-05 13:15,2024,3,5,광주지사,도로안전팀,손해배상,이정입력,노면파손,차량피해 보상요청,호남선(78.4),    호남선78.4    ,호남선,78.4,35.18532,126.8799,국민신문고,시설환경
99,2024003610,2024-03-05 12:48,2024,3,5,구례지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,순천완주선(58.3),    순천완주선58.3    ,순천완주선,58.3,35.40555,127.3073,안전신문고,시설환경
100,2024003591,2024-03-05 10:39,2024,3,5,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,호남선(33.7),    호남선33.7    ,호남선,33.7,35.16508,127.2516,안전신문고,시설환경
101,2024003589,2024-03-05 10:37,2024,3,5,담양지사,도로안전팀,유지보수,공통,차선도색,차선도색 요청,호남선(48.2),    호남선48.2    ,호남선,48.2,35.25735,127.1583,안전신문고,시설환경
102,2024003588,2024-03-05 10:33,2024,3,5,담양지사,도로안전팀,유지보수,이정입력,안전시설,충격흡수시설 보수요청,호남선(43.2),    호남선43.2    ,호남선,43.2,35.23453,127.2037,안전신문고,시설환경
103,2024003587,2024-03-05 10:30,2024,3,5,순천지사,도로안전팀,유지보수,공통,기타,동물 사체 처리요청,호남선(38.2),    호남선38.2    ,호남선,38.2,35.20278,127.2358,안전신문고,시설환경
104,2024003585,2024-03-05 10:21,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,남해선(17.7),    남해선(순천부산)17.7    ,남해선(순천부산),17.7,34.9634,127.6516,안전신문고,시설환경
105,2024003583,2024-03-05 10:18,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,남해선(24.2),    남해선(순천부산)24.2    ,남해선(순천부산),24.2,34.98697,127.704,안전신문고,시설환경
106,2024003581,2024-03-05 10:16,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,남해선(5.6),    남해선(순천부산)5.6    ,남해선(순천부산),5.6,34.99083,127.5349,안전신문고,시설환경
107,2024003580,2024-03-05 10:11,2024,3,5,광주지사,도로안전팀,유지보수,동림IC(80.45),노면파임,포트홀 보수요청,호남선(80.45),    호남선80.4    ,호남선,80.4,35.19276,126.8612,안전신문고,시설환경
108,2024003579,2024-03-05 10:10,2024,3,5,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(82.9),    호남선82.9    ,호남선,82.9,35.20369,126.8387,안전신문고,시설환경
109,2024003578,2024-03-05 10:08,2024,3,5,광주지사,도로안전팀,유지보수,산월IC(82.05),노면파임,포트홀 보수요청,호남선(82.05),    호남선82    ,호남선,82,35.19795,126.8458,안전신문고,시설환경
110,2024003576,2024-03-05 9:57,2024,3,5,광주지사,도로안전팀,유지보수,산월IC(82.05),노면파임,포트홀 보수요청,호남선(82.05),    호남선82    ,호남선,82,35.19795,126.8458,안전신문고,시설환경
111,2024003575,2024-03-05 9:54,2024,3,5,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(84),    호남선84    ,호남선,84,35.21109,126.8307,안전신문고,시설환경
112,2024003574,2024-03-05 9:52,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,남해선(24.2),    남해선(순천부산)24.2    ,남해선(순천부산),24.2,34.98697,127.704,안전신문고,시설환경
113,2024003573,2024-03-05 9:48,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,남해선(17.7),    남해선(순천부산)17.7    ,남해선(순천부산),17.7,34.9634,127.6516,안전신문고,시설환경
114,2024003572,2024-03-05 9:46,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선,남해선(17.7),    남해선(순천부산)17.7    ,남해선(순천부산),17.7,34.9634,127.6516,안전신문고,시설환경
115,2024003571,2024-03-05 9:41,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,기타시설물,차선규제봉 보수요청,남해선(10.82),    남해선(순천부산)10.8    ,남해선(순천부산),10.8,34.98391,127.5898,안전신문고,시설환경
116,2024003570,2024-03-05 9:38,2024,3,5,순천지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,호남선(37.5),    호남선37.5    ,호남선,37.5,35.1965,127.2351,안전신문고,시설환경
117,2024003568,2024-03-05 9:25,2024,3,5,광주지사,도로안전팀,유지보수,광주영업소(90.1),방음벽,방음벽 보수요청,호남선(88.9),    호남선88.9    ,호남선,88.9,35.25047,126.8098,안전신문고,시설환경
118,2024003566,2024-03-05 9:22,2024,3,5,담양지사,도로안전팀,유지보수,공통,노면파임,포트홀 보수요청,호남선(52.7),    호남선52.7    ,호남선,52.7,35.25931,127.1119,안전신문고,시설환경
119,2024003559,2024-03-05 9:18,2024,3,5,광주지사,도로안전팀,유지보수,광주영업소(90.1),노면파임,도로파손 보수요청,호남선(89.4),    호남선89.4    ,호남선,89.4,35.25401,126.8063,안전신문고,시설환경
120,2024003558,2024-03-05 9:16,2024,3,5,광주지사,도로안전팀,유지보수,이정입력,안전시설,가드레일 보수요청,호남선(107),    호남선107    ,호남선,107,35.39713,126.8067,안전신문고,시설환경
121,2024003554,2024-03-05 9:10,2024,3,5,광주지사,도로안전팀,유지보수,이정입력,노면파임,도로파손 보수요청,호남선(81.85),    호남선81.8    ,호남선,81.8,35.19667,126.8473,안전신문고,시설환경
122,2024003553,2024-03-05 9:05,2024,3,5,순천지사,도로안전팀,유지보수,이정입력,안전시설,차선규제봉 보수요청,남해선(12.6),    남해선(순천부산)12.6    ,남해선(순천부산),12.6,34.97331,127.6035,안전신문고,시설환경
123,2024003551,2024-03-05 8:55,2024,3,5,광주지사,도로안전팀,유지보수,이정입력,안전시설,가드레일 보수요청,호남선(92.9),    호남선92.9    ,호남선,92.9,35.27813,126.7921,안전신문고,시설환경
124,2024003550,2024-03-05 8:49,2024,3,5,광주지사,도로안전팀,유지보수,이정입력,노면파임,포트홀 보수요청,호남선(80.81),    호남선80.8    ,호남선,80.8,35.19261,126.8568,안전신문고,시설환경
125,2024003298,2024-02-29 10:04,2024,2,29,남원지사,도로안전팀,유지보수,공통,차선도색,유도선 보완 및 가로등 설치 요청,광주대구선(29.7),    광주대구선29.7    ,광주대구선,29.7,35.36372,127.1338,안전신문고,시설환경
126,2024003238,2024-02-28 14:27,2024,2,28,남원지사,도로안전팀,유지보수,공통,안전시설,차선규제봉 보수요청,광주대구선(47.78),    광주대구선47.7    ,광주대구선,47.7,35.40669,127.3128,안전신문고,시설환경
127,2024003231,2024-02-28 13:25,2024,2,28,남원지사,도로안전팀,유지보수,지리산(75),안전시설,차선규제봉 보수요청,광주대구선(75.7),    광주대구선75.7    ,광주대구선,75.7,35.48306,127.5725,안전신문고,시설환경
128,2024003229,2024-02-28 13:04,2024,2,28,광주지사,도로안전팀,유지보수,광산IC(84.98),안전시설,차선규제봉 보수요청,호남선(84.9),    호남선84.9    ,호남선,84.9,35.21877,126.8276,안전신문고,시설환경
129,2024003192,2024-02-28 9:46,2024,2,28,광주지사,도로안전팀,유지보수,동광주IC(74.21),노면파임,포트홀 보수요청,호남선(74.21),    호남선74.2    ,호남선,74.2,35.18227,126.9253,안전신문고,시설환경
130,2024003134,2024-02-27 17:04,2024,2,27,광주지사,도로안전팀,유지보수,공통,안전시설,차선규제봉 보수요청,호남선(85.7),    호남선85.7    ,호남선,85.7,35.22595,126.8264,안전신문고,시설환경
131,2024003087,2024-02-27 14:35,2024,2,27,광주지사,도로안전팀,유지보수,동림IC(80.45),안전시설,차선규제봉 보수요청,호남선(80.45),    호남선80.4    ,호남선,80.4,35.19276,126.8612,안전신문고,시설환경
132,2024003086,2024-02-27 14:29,2024,2,27,순천지사,도로안전팀,유지보수,섬진강(30),노면파임,포트홀 보수요청,남해선(31.21),    남해선(순천부산)31.2    ,남해선(순천부산),31.2,34.98702,127.7736,안전신문고,시설환경
133,2024003032,2024-02-27 13:25,2024,2,27,광주지사,도로안전팀,유지보수,공통,안전시설,차선규제봉 보수요청,호남선(85.7),    호남선85.7    ,호남선,85.7,35.22595,126.8264,안전신문고,시설환경
134,2024003030,2024-02-27 13:22,2024,2,27,광주지사,도로안전팀,유지보수,광산IC(84.98),노면파임,포트홀 보수요청,호남선(84.98),    호남선84.9    ,호남선,84.9,35.21877,126.8276,안전신문고,시설환경
135,2024002681,2024-02-23 8:12,2024,2,23,광주지사,도로안전팀,유지보수,동림IC(80.45),안전시설,차선규제봉 보수요청,호남선(80.45),    호남선80.4    ,호남선,80.4,35.19276,126.8612,안전신문고,시설환경
136,2024002673,2024-02-22 17:12,2024,2,22,구례지사,도로안전팀,유지보수,공통,안전시설,차선규제봉 이격요청,순천완주선(49.7),    순천완주선49.7    ,순천완주선,49.7,35.33818,127.3523,국민신문고,시설환경
137,2024002637,2024-02-22 13:53,2024,2,22,구례지사, 도로안전팀,유지보수,,시설,차선규제봉 설치 위치 변경 요청,"순천완주선(49, 순천)",    순천완주선49    ,순천완주선,49,35.33241,127.3554,국민신문고,시설환경
138,2024002626,2024-02-22 11:31,2024,2,22,광주전남본부,시설팀,기타,,기타,농가주택 건축 여부 문의,서해안선(46.5),    서해안선46.5    ,서해안선,46.5,35.21246,126.4904,국민신문고,기타요인
139,2024002514,2024-02-21 9:53,2024,2,21,보성지사, 도로안전팀,유지보수,,도로,포트홀 보수 요청,"남해선(5.3, 영암순천)",    남해선(영암순천)5.3    ,남해선(영암순천),5.3,34.73608,126.575,안전신문고,시설환경
140,2024002512,2024-02-21 9:30,2024,2,21,구례지사, 도로안전팀,유지보수,,시설,방음벽 설치 요청,"순천완주선(39.8, 완주)",    순천완주선39.8    ,순천완주선,39.8,35.26495,127.4071,국민신문고,시설환경
141,2024002439,2024-02-20 11:02,2024,2,20,광주지사, 도로안전팀,유지보수,광주영업소(90.1),시설,차선규제봉 훼손 조치 요청,호남선(89.4),    호남선89.4    ,호남선,89.4,35.25401,126.8063,안전신문고,시설환경
142,2024002365,2024-02-19 16:32,2024,2,19,광주지사, 도로안전팀,기타,,기타,차량유도선 및 '차선 좁아짐' 글씨 요청,광주대구선(6.3),    광주대구선6.3    ,광주대구선,6.3,35.23805,126.9617,안전신문고,시설환경
143,2024002299,2024-02-19 10:49,2024,2,19,담양지사, 도로안전팀,기타,,기타,1차로를 2차로로 변경 요청,고창담양선(29.0),    고창담양선29    ,고창담양선,29,35.26149,126.8934,안전신문고,시설환경
144,2024002235,2024-02-19 9:26,2024,2,19,순천지사, 도로안전팀,기타,동광양IC(17.72),기타,도로변 쓰레기 수거 요청,남해선(17.7),    남해선(순천부산)17.7    ,남해선(순천부산),17.7,34.9634,127.6516,안전신문고,기타요인
145,2024002088,2024-02-14 10:46,2024,2,14,함평지사, 도로안전팀,유지보수,무안IC(23.54),시설,도로이정 표지판 스티커 보수 요청,서해안선(23.5),    서해안선23.5    ,서해안선,23.5,35.00747,126.4921,안전신문고,시설환경
146,2024002087,2024-02-14 10:41,2024,2,14,광주지사, 도로안전팀,유지보수,공통,도로,포트홀 보수 요청,호남선(111.1),    호남선111.1    ,호남선,111.1,35.43242,126.8053,안전신문고,시설환경
147,2024001916,2024-02-08 13:42,2024,2,8,광주지사, 도로안전팀,유지보수,공통,도로,도로경계석 이탈 조치 요청,호남선(78.4),    호남선78.4    ,호남선,78.4,35.18532,126.8799,안전신문고,시설환경
148,2024001915,2024-02-08 13:37,2024,2,8,보성지사, 도로안전팀,유지보수,공통,시설,휴게소 조명 밝기 조치 요청,남해선(68),    남해선(영암순천)68    ,남해선(영암순천),68,34.80768,127.1798,안전신문고,시설환경
149,2024001889,2024-02-08 8:39,2024,2,8,광주지사, 도로안전팀,유지보수,공통,시설,배수로 넘침 보수 요청,호남선(89.6),    호남선89.6    ,호남선,89.6,35.25542,126.8049,안전신문고,시설환경
150,2024001881,2024-02-07 17:20,2024,2,7,광주지사, 도로안전팀,유지보수,공통,시설,차선규제봉 보수 요청,호남선(80.6),    호남선80.6    ,호남선,80.6,35.19267,126.859,안전신문고,시설환경
151,2024001814,2024-02-06 13:46,2024,2,6,담양지사, 도로안전팀,유지보수,공통,시설,도로표지판 외부조명 눈부심으로 인한 보수 요청,고창담양선(13.2),    고창담양선13.2    ,고창담양선,13.2,35.34975,126.7689,국민신문고,시설환경
152,2024001813,2024-02-06 13:26,2024,2,6,보성지사, 도로안전팀,유지보수,공통,도로,포트홀 보수 요청,남해선(64),    남해선(영암순천)64    ,남해선(영암순천),64,34.81101,127.1374,안전신문고,시설환경
153,2024001812,2024-02-06 13:25,2024,2,6,보성지사, 도로안전팀,유지보수,공통,도로,포트홀 보수 요청,남해선(64),    남해선(영암순천)64    ,남해선(영암순천),64,34.81101,127.1374,안전신문고,시설환경
154,2024001624,2024-02-01 10:50,2024,2,1,광주지사, 도로안전팀,유지보수,동림IC(80.45),시설,차선규제봉 보수 요청,호남선(80.6),    호남선80.6    ,호남선,80.6,35.19267,126.859,안전신문고,시설환경
