NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
2023021347,2023-11-24 9:55,2023,11,24,함평지사,도로안전팀,유지보수,공통,도로,포트홀,서광산IC,무안광주선34.7,무안광주선,34.7,35.11809983,126.7319409, 국민신문고 , 시설환경 
2023021335,2023-11-23 17:56,2023,11,23,광주지사,도로안전팀,유지보수,동림IC(80.45),도로,차선도색 요청,동림IC,논산천안선/호남선80.6,논산천안선/호남선,80.6,35.19266986,126.859015, 안전신문고 , 시설환경 
2023021318,2023-11-23 15:40,2023,11,23,함평지사,도로안전팀,교통,공통,제보,로드킬 처리요청,몽탄1교,서해안선17.9,서해안선,17.9,34.95780566,126.5015645, 안전신문고 , 시설환경 
2023021281,2023-11-22 16:34,2023,11,22,보성지사,교통안전팀,기타,이정입력,직원관련,칭찬(안전순찰원),보성지사,,,  ,,, 칭찬 , 직원요인 
2023021274,2023-11-22 14:49,2023,11,22,광주전남본부,교통팀,유지보수,공통,시설,-,,,,  ,,, 홈페이지(전자민원) , 시설환경 
2023021261,2023-11-22 10:46,2023,11,22,담양지사,교통안전팀,기타,공통,기타,졸음쉼터 불법주정차 제보,태령졸음쉼터,광주대구선32.4,광주대구선,32.4,35.36812485,127.161856, 안전신문고 , 고객요인 
2023021257,2023-11-22 10:03,2023,11,22,함평지사,고객지원팀,영업,공통,휴게소,화장실 입구 데크 보수요청,영광임시휴게소(목포),서해안선50.6,서해안선,50.6,35.24378276,126.5118093, 국민신문고 , 시설환경 
2023021256,2023-11-22 10:02,2023,11,22,함평지사,도로안전팀,유지보수,,도로,-,,,,  ,,, 안전신문고 , 시설환경 
2023021234,2023-11-21 17:17,2023,11,21,광주지사,도로안전팀,손해배상,이정입력,차량피해,-,,,,  ,,, 전화 , 업무처리 
2023021214,2023-11-21 16:28,2023,11,21,보성지사,교통안전팀,교통,공통,제한차량,화물차 과적 제보,남해선(영암-순천),남해선(영암순천)23,남해선(영암순천),23,34.69568356,126.7517257, 안전신문고 , 고객요인 
2023021212,2023-11-21 16:24,2023,11,21,광주지사,도로안전팀,교통,산월IC(82.05),제보,로드킬 처리요청,산월 IC,논산천안선/호남선83,논산천안선/호남선,83,35.20432439,126.8379404, 안전신문고 , 시설환경 
2023021191,2023-11-21 15:59,2023,11,21,광주지사,도로안전팀,유지보수,공통,도로,포트홀 보수요청,"용봉IC-동광주IC
(순천방향)",논산천안선/호남선77,논산천안선/호남선,77,35.18445778,126.8952407, 안전신문고 , 시설환경 
2023021170,2023-11-21 9:28,2023,11,21,담양지사,고객지원팀,기타,곡성(49),기타,휴게소 수유실 관리미흡(에어컨 위생상태),곡성휴게소(천안),논산천안선/호남선37.1,논산천안선/호남선,37.1,35.19301952,127.2362688, 국민신문고 , 시설환경 
2023021059,2023-11-16 13:44,2023,11,16,담양지사,도로안전팀,유지보수,이정입력,도로,손해배상 요구 (노면파손),고창담양선,,,  ,,, 국민신문고 , 시설환경 
